empresa,sindicato,tipo,categoria,estado,endereço,bairro,cep,Cidade,email
Empresa 1,Empresa 1,Trabalhador,Categoria 1,*Rio de Janeiro*: Casimiro de Abreu.,Endereço 1,CENTRO,28.860-000,Casimiro de Abreu/RJ,1email@emailfalso.com
Empresa 2,Empresa 2,Trabalhador,Categoria 2,"*Minas Gerais*: Brazópolis, Conceição das Pedras, Conceição dos Ouros, Consolação, Delfim Moreira, Gonçalves, Maria da Fé, Marmelópolis, Paraisópolis, Pedralva, Piranguçu, Piranguinho, São José do Alegre, Sapucaí-Mirim e Wenceslau Braz.",Endereço 2,Varginha,37.501-056,Itajubá/MG,2email@emailfalso.com
Empresa 3,Empresa 3,Trabalhador,Categoria 3,*Bahia*.,Endereço 3,Pituba,41.830-000,Salvador/BA,3email@emailfalso.com
Empresa 4,Empresa 4,Trabalhador,Categoria 4,*Paraná*: Corbélia.,Endereço 4,VILA UNIDA,85.420-000,Corbélia/PR,4email@emailfalso.com
Empresa 5,Empresa 5,Trabalhador,Categoria 5,*Piauí*: Campo Maior.,Endereço 5,CENTRO,64.280-000,Campo Maior/PI,5email@emailfalso.com
Empresa 6,Empresa 6,Trabalhador,Categoria 6,*Bahia*: Acajutiba.,Endereço 6,CENTRO,48.360-000,Acajutiba/BA,6email@emailfalso.com
Empresa 7,Empresa 7,Trabalhador,Categoria 7,*Ceará*: Fortaleza.,Endereço 7,Centro,60.055-080,Fortaleza/CE,7email@emailfalso.com
Empresa 8,Empresa 8,Trabalhador,Categoria 8,*Piauí*: São Raimundo Nonato.,Endereço 8,CENTRO,64.770-000,São Raimundo Nonato/PI,8email@emailfalso.com
Empresa 9,Empresa 9,Trabalhador,Categoria 9,*Rondônia*.,Endereço 9,Nossa Senhora das Graças,76.804-142,Porto Velho/RO,9email@emailfalso.com
Empresa 10,Empresa 10,Trabalhador,Categoria 10,*Rondônia*: Machadinho D'Oeste.,Endereço 10,centro,76.868-000,Machadinho D`Oeste/RO,10email@emailfalso.com
Empresa 11,Empresa 11,Trabalhador,Categoria 11,*Paraná*: Teixeira Soares.,Endereço 11,Centro,84.530-000,Teixeira Soares/PR,11email@emailfalso.com
Empresa 12,Empresa 12,Trabalhador,Categoria 12,*São Paulo*.,Endereço 12,Vila Teixeira,13.032-385,Campinas/SP,12email@emailfalso.com
Empresa 13,Empresa 13,Trabalhador,Categoria 13,"*Maranhão*: Açailândia, Bom Jesus das Selvas, Buriticupu, Cidelândia, Itinga do Maranhão, São Francisco do Brejão, São Pedro da Água Branca e Vila Nova dos Martírios.",Endereço 13,CENTRO,65.930-000,Açailândia/MA,13email@emailfalso.com
Empresa 14,Empresa 14,Trabalhador,Categoria 14,*Rio Grande do Sul*: Rolador.,Endereço 14,Centro,97.843-000,Rolador/RS,14email@emailfalso.com
Empresa 15,Empresa 15,Trabalhador,Categoria 15,*São Paulo*: Coroados.,Endereço 15,Granville,16.260-000,Coroados/SP,15email@emailfalso.com
Empresa 16,Empresa 16,Trabalhador,Categoria 16,*Rio Grande do Sul*: Novo Cabrais.,Endereço 16,Centro,96.545-000,Novo Cabrais/RS,16email@emailfalso.com
Empresa 17,Empresa 17,Trabalhador,Categoria 17,"*Santa Catarina*: Balneário Camboriú, Balneário Piçarras, Camboriú, Ilhota, Itajaí, Itapema, Luiz Alves, Navegantes, Penha e Porto Belo.",Endereço 17,Centro,88.303-140,Itajaí/SC,17email@emailfalso.com
Empresa 18,Empresa 18,Trabalhador,Categoria 18,*Bahia*: Itiúba.,Endereço 18,CENTRO,48.850-000,Itiúba/BA,18email@emailfalso.com
Empresa 19,Empresa 19,Trabalhador,Categoria 19,*Amapá*.,Endereço 19,Perpétuo Socorro,68.905-670,Macapá/AP,19email@emailfalso.com
Empresa 20,Empresa 20,Trabalhador,Categoria 20,*Sergipe*: Lagarto.,Endereço 20,Centro,49.400-000,Lagarto/SE,20email@emailfalso.com
